name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,cookTime_H,cookTime_M,prepTime_M,totalTime,difficulty
Good Ol’ Basic Mexican Rice,"2 Tablespoons Canola Oil
1/2 whole Large Onion, Chopped
2 cups Long Grain Rice
3 cloves Garlic, Minced
1 can Rotel Diced Green Chilies And Tomatoes (10 Ounce Can)
1 can Whole Tomatoes (14.5 Ounce Can)
2 cups Low Sodium Chicken Broth (more If Needed)
1 teaspoon Cumin (more To Taste)
1 teaspoon Kosher Salt
 Fresh Cilantro, Chopped",http://thepioneerwoman.com/cooking/2009/11/good-ol-basic-mexican-rice/,http://static.thepioneerwoman.com/cooking/files/2010/07/4021656171_abe77dc608.jpg,15M,6,2009-11-11,10M,I serve this rice with my White Chicken Enchiladas and they really are the perfect complement. It's a very basic Mexican rice...,0,15,10,25,Easy
White Chili,"1 whole Fryer Chicken, Cut Up (or 3 Cups Cooked Chicken)
1 whole Medium Onion, Diced
4 cloves Garlic, Minced
2 whole Cans Green Chilies, Chopped
1 pound Dried Great Northern Beans, Rinsed
8 cups Chicken Broth
1 whole Jalapeno, Sliced
1-1/2 Tablespoon Ground Cumin
1/2 teaspoon Paprika
1/2 teaspoon Cayenne Pepper
 Salt To Taste
 White Pepper, To Taste
1 cup Whole Milk
2 Tablespoons Masa (corn Flour) OR Cornmeal
 Grated Monterey Jack, To Taste
 Sour Cream For Garnish
 Cilantro For Garnish
 Guacamole (optional)
 Pico De Gallo (optional)
 Corn Tortillas, Warmed",http://thepioneerwoman.com/cooking/2010/01/simple-hearty-white-chili/,http://static.thepioneerwoman.com/cooking/files/2010/07/4243109382_1a797f44d2.jpg,2H,8,2010-01-04,25M,"I love white chili. And just like regular chili, there are as many incarnations as there are grains of sand in all the beache...",2,0,25,145,Hard
Enchiladas," FOR THE SAUCE:
1 Tablespoon Canola Oil
1 Tablespoon All-purpose Flour
1 can (28 Ounce) Enchilada Or Red Sauce
2 cups Chicken Broth
1/2 teaspoon Salt
1/2 teaspoon Ground Black Pepper
2 Tablespoons Chopped Cilantro
 _____
 FOR THE MEAT:
1-1/2 pound Ground Beef
1 whole Medium Onion, Finely Diced
2 cans (4 Ounce) Diced Green Chilies
1/2 teaspoon Salt
 _____
 FOR THE TORTILLAS:
10 whole (to 14) Corn Tortillas
1/2 cup Canola Oil
 _____
 TO ASSEMBLE:
3 cups Grated Sharp Cheddar Cheese
1/2 cup Chopped Black Olives
1 cup Chopped Green Onions
1/2 cup Chopped Cilantro",http://thepioneerwoman.com/cooking/2008/09/simple-perfect-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2008/09/Enchiladas.jpg,20M,6,2008-09-15,1H30M,"Okay, people. Let's get down to business here. Let's make enchiladas!     Did you know that in addition to having an imaginar...",0,20,30,50,Medium
Mexican Layer Dip,"1 can Refried Beans
 Tabasco Sauce, To Taste
1 can Diced Green Chilies
 Ground Cumin, to taste
3/4 cups Grated Sharp Cheddar Cheese
1 cup Sour Cream
1 cup Guacamole
3/4 cups Monterey Jack Cheese
1 can Black Olives
1 cup Pico De Gallo",http://thepioneerwoman.com/cooking/2009/01/mexican-layer-dip/,http://static.thepioneerwoman.com/cooking/files/2010/07/3240212440_rec_chil959a301.jpg,,8,2009-01-30,15M,"    It's the exact same Mexican Layer Dip I grew up eating in the eighties, with the exception of these modifications:    1. ...",0,0,15,15,Easy
Pioneer Woman’s Favorite Sandwich,"1 Tablespoon Dijon Mustard, to taste
1 Tablespoon Mayonnaise, to taste
1 whole Tomato
1 whole Red Onion, Small
2 slices Mild Cheddar
1 can (4 Oz.) Whole Green Chilies
2 slices Provolone
2 slices Rye Bread
 Butter",http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/,http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg,5M,1,2007-10-02,10M,"    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...",0,5,10,15,Easy
Chocolate Calypso Beans (remix),"1 lb. Jacob's Cattle beans
2 T. olive oil
1 large onion, chopped
1 red bell pepper, chopped
5 cloves garlic, minced
2T. ground, dried red chilies (I used med-hot Chimayo)
1 1/2 T ground cumin
2+ t.  ground cinnamon 
1 t. ground allspice
4 1/2 cups water or vegetable stock
1 12 oz. bottle Negro Modelo Mexican beer
1 1/2 discs Ibarra Mexican chocolate",http://www.101cookbooks.com/archives/000116.html,http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg,,,2004-09-06,,101 Cookbooks: Chocolate Calypso Beans Recipe,0,0,0,0,Unknown
Green Curry with Tofu,"Ingredients for chili paste:
2 green hot chilies (Thai chilies)
1 tablespoon chopped shallots
1 teaspoon chopped galangal 
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped garlic
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt
Other ingredients:
1 cup sliced eggplants
1/4 cup smaller pea-like eggplants (makheau phuang)
1/3 cup sliced onion
70 grams sliced chicken (or firm tofu)
1 teaspoon sugar
1 tablespoon fish sauce (or soy sauce for vegetarians)
3 kaffir lime leaves
2 stems sweet basil (horapaa)
1 cup coconut milk
1 cup water
(Again, chicken can be replaced tofu)",http://www.101cookbooks.com/archives/000130.html,http://www.101cookbooks.com/mt-static/images/food/.jpg,,,2004-12-01,,101 Cookbooks: Green Curry with Tofu Recipe,0,0,0,0,Unknown
Sweet Potato Pot Pie Recipe,"3 tablespoons extra-virgin olive oil  
1 medium white or yellow onion, chopped  
3 cloves garlic, chopped  
2 1/2 to 3 cups sweet potatoes, peeled and diced into  1/4-inch pieces  
1/2 teaspoon salt (plus more to taste)  
1 tablespoon adobo sauce from a can of chipotle chilies (or more to taste)  
1 cup corn kernels, fresh or frozen  
2 cups cold whole or low-fat milk  
2 tablespoons cornstarch  
1 box puff pastry dough (allow 20 to 30 minutes to thaw)  
1 egg white",http://www.101cookbooks.com/archives/000127.html,http://www.101cookbooks.com/mt-static/images/food/potpies1.jpg,,,2004-11-15,,"A recipe from my first book that was featured in the Washington post - sweet potatoes, chipotle, corn, onions, and puff pastry.",0,0,0,0,Unknown
Salsa of the Year,"3 T. vegetable oil 
1 ounce dried mirasol (milder) or smoked serrano (more heat) chilies
garlic, 12 small to medium cloves - peeled
Another 3 T. vegetable oil
1 1/4 cups vegetable broth
- Stir in 1/3 cup cream (or to taste) - for a slightly creamy sauce that will add a bit of kick to a wide range of recipes. (this is the sauce you see in the pictures on this post). Drizzle on savory crepes, egg dishes, casseroles, etc.
- Stir a couple tablespoons into light or vegan mayo for a spicy sandwich spread.
- Spread on panini: with all sorts of fixings.",http://www.101cookbooks.com/archives/000325.html,http://www.101cookbooks.com/mt-static/images/food/soty1.jpg,,Makes about 1 cup.,2005-08-21,,"Smoky and creamy, this salsa recipe is best drizzled over eggs, quesadilla, and crepes.",0,0,0,0,Unknown
In a Hurry Green Curry Recipe,"2 teaspoons green curry paste*
scant 1/2  teaspoon salt
1 14-ounce can coconut milk (light ok)
1 large onion, sliced
14 ounces water or light vegetable broth
6 ounces of firm tofu cut into 1/2 inch cubes
1 cup peas, fresh or frozen
2 cups asparagus, cut into 1/2-inch segments
squeeze of fresh lime juice
1/4 cup small basil leaves
2 green hot chilies (Thai chilies)
1 tablespoon chopped garlic
1 tablespoon chopped shallots
1 teaspoon chopped galangal
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt",http://www.101cookbooks.com/archives/in-a-hurry-green-curry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/light_greencurry_recipe.jpg,,Serves 4.,2008-05-15,,"A quick and delicious green curry recipe - peas, asparagus, and tofu swimming in a fragrant, not-overly-rich Thai green chile broth.",0,0,0,0,Unknown
